price,postal_code,rooms,area,state,has_open_fire,property_type,property_subtype,facades_number,is_furnished,has_terrace,has_garden,has_swimming_pool,has_equipped_kitchen,is_luxurious
299000,2660,3,176,4,-1,1,11,-1,0,0,1,2,4,0
439000,2170,4,189,4,-1,1,11,2,0,1,1,2,4,0
264000,2610,2,107,5,-1,1,11,2,0,1,0,2,4,0
329000,2100,4,139,5,-1,1,11,2,0,0,1,2,4,0
340000,2140,2,187,3,-1,1,11,-1,0,0,1,2,4,0
499000,2660,4,246,3,-1,1,11,3,-1,1,1,2,4,0
329000,2610,3,116,4,-1,1,11,-1,-1,0,1,2,4,0
665000,2600,4,190,4,-1,1,11,-1,-1,-1,-1,2,4,0
399000,2180,4,166,4,-1,1,11,-1,0,1,1,2,4,0
364000,2660,3,165,3,-1,1,11,2,-1,0,1,2,4,0
795000,2660,5,535,4,-1,1,11,2,0,1,1,2,4,1
229000,2100,2,103,5,-1,1,11,2,0,0,0,2,4,0
385000,2610,4,168,4,-1,1,11,-1,-1,-1,-1,2,4,0
335000,2180,3,155,0,-1,1,11,2,0,0,1,2,4,0
349000,2020,5,181,5,-1,1,11,2,0,1,1,2,2,0
295000,2030,3,131,0,-1,1,11,3,-1,1,1,0,4,0
320000,2060,3,129,3,-1,1,11,2,-1,-1,-1,2,4,0
329000,2030,3,126,3,-1,1,11,2,-1,1,1,2,4,0
299000,2020,3,130,4,-1,1,11,2,0,1,1,2,4,0
480000,2018,3,122,2,-1,1,11,3,0,1,1,2,4,0
525000,2020,3,290,4,-1,1,11,2,0,0,0,2,4,0
549000,2060,7,245,3,-1,1,11,-1,-1,0,1,0,4,1
919000,2018,5,387,5,-1,1,11,2,0,1,0,2,4,1
445000,2660,4,185,4,-1,1,11,-1,-1,-1,-1,2,4,0
279000,2100,5,119,4,-1,1,11,2,0,1,1,2,4,0
399000,2180,3,220,3,-1,1,11,-1,-1,-1,-1,2,4,0
497200,2610,3,228,5,-1,1,11,-1,-1,-1,-1,2,4,0
459500,2100,4,168,0,-1,1,11,2,-1,1,1,2,4,0
295000,2100,2,134,5,-1,1,11,2,0,0,1,2,4,0
349000,2170,4,180,5,-1,1,11,2,0,1,1,2,4,0
490000,2018,3,117,1,-1,1,11,-1,-1,-1,-1,2,4,0
309000,2180,3,159,5,-1,1,11,2,0,1,1,2,4,0
309000,2180,3,167,4,-1,1,11,2,0,1,1,2,4,0
349000,2660,5,189,3,-1,1,11,2,-1,0,1,2,4,0
315000,2170,4,186,4,-1,1,11,2,0,1,1,2,4,0
355000,2660,7,333,3,-1,1,11,2,-1,1,0,2,4,1
199000,2660,1,116,5,-1,1,11,2,0,0,0,2,4,0
219000,2100,2,134,5,-1,1,11,2,0,0,1,2,4,0
665000,2018,4,190,1,-1,2,8,-1,-1,-1,-1,2,4,0
469000,2060,2,238,4,-1,1,11,2,0,1,0,2,4,0
495000,2060,4,333,4,-1,1,11,2,0,1,1,2,4,1
165000,2060,2,42,5,-1,1,11,2,0,0,0,2,2,0
375000,2600,4,184,5,-1,1,11,3,0,0,0,2,2,0
973000,2018,5,286,1,-1,1,11,-1,-1,-1,-1,2,4,1
650000,2610,3,195,5,-1,1,14,4,0,0,1,2,4,0
399000,2000,3,75,4,-1,1,11,-1,-1,-1,-1,2,4,0
595000,2060,7,250,5,-1,1,11,2,0,1,1,2,4,1
310000,2660,2,171,5,-1,1,11,2,0,0,1,2,4,0
