price,rooms,area,state,facades_number,is_furnished,has_terrace,has_garden,has_swimming_pool,has_equipped_kitchen,build_year,cellar,garage,kitchen_type,kitchen_surface,bathrooms,low_energy,solar_panels,heating_type,heat_pump,air_conditioning,alarm,garden_surface,terrace_surface,land_surface,sewer_connection,running_water,rain_water_tank,primary_energy_consumption,co2,certification_electrical_installation,planning_permission_granted,preemption_right,flooding_area_type,surroundings_protected,availability,leased,living_room_surface,attic,glazing_type,elevator,entry_phone,security_door,access_disabled,apartement_floor,number_floors,toilets,frontage_width,terrain_width_roadside,g_score,p_score,cadastral_income,property_subtype,postal_code,property_type
269000,2,51,3,0,1,2,1,0,1,1968,2,1,3,-1,1,0,0,5,0,0,0,-1,-1,-1,0,0,0,184,-1,1,0,1,0,0,93,0,-1,0,1,0,0,0,0,0,0,0,-1,-1,2,2,-1,0,157,0
299000,3,79,4,2,1,2,1,0,1,2011,0,1,3,-1,1,0,0,1,0,0,0,-1,5,-1,0,2,0,100,-1,2,0,2,3,0,94,1,22,0,1,2,0,0,0,3,0,1,-1,-1,2,2,-1,0,110,0
359000,4,110,3,0,1,2,1,0,1,-1,0,1,3,-1,1,0,0,3,0,0,0,-1,-1,-1,0,2,0,-1,-1,1,0,0,0,0,94,1,-1,0,1,1,0,0,0,3,0,1,-1,-1,2,2,-1,0,158,0
239000,3,84,4,2,1,2,1,0,1,1963,0,0,3,-1,1,0,0,3,0,0,0,-1,-1,-1,0,2,0,163,-1,0,0,2,2,0,94,1,-1,0,1,2,0,0,0,6,0,0,-1,-1,2,2,-1,0,111,0
189000,3,80,4,2,1,1,1,0,1,1930,0,0,3,-1,0,0,0,5,0,0,0,-1,-1,-1,0,0,0,149,-1,2,0,1,3,0,92,1,-1,0,1,1,0,0,0,2,0,0,-1,-1,2,2,-1,0,158,0
269000,3,96,4,0,1,2,1,0,1,1974,0,0,3,-1,1,0,0,3,0,0,0,-1,10,-1,0,2,0,113,-1,2,0,0,0,0,93,1,37,0,1,1,0,0,0,0,0,1,-1,-1,2,2,-1,0,106,0
224000,3,86,4,2,1,2,1,0,1,1977,0,0,3,-1,1,0,0,3,0,0,0,-1,-1,-1,0,2,0,155,-1,0,0,1,3,0,91,1,-1,0,1,2,0,0,0,2,3,1,14,-1,2,2,949,0,113,0
217000,3,78,4,2,1,2,1,0,1,2017,0,0,3,-1,1,0,0,3,0,0,0,-1,9,-1,0,0,0,48,-1,2,0,1,3,0,92,1,-1,0,1,2,0,0,0,0,0,1,6,-1,2,2,-1,0,114,0
269000,3,96,4,0,1,2,1,0,1,1974,0,0,3,-1,1,0,0,3,0,0,0,-1,10,-1,0,2,0,113,-1,2,0,0,0,0,93,1,37,0,1,1,0,0,0,0,0,1,-1,-1,2,2,-1,0,114,0
269000,4,119,3,0,0,2,1,0,1,1974,0,0,3,-1,1,0,0,6,0,1,1,-1,-1,-1,0,0,0,217,-1,1,0,0,3,1,93,1,-1,0,1,2,0,0,1,0,0,1,-1,-1,2,2,-1,0,113,0
229500,3,110,5,0,1,1,1,0,1,-1,0,0,3,-1,1,0,0,3,0,0,0,-1,-1,-1,0,2,0,799,-1,2,0,1,0,0,94,1,-1,0,1,1,0,0,0,3,0,1,-1,-1,2,2,713,0,157,0
